stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
2,1.34,2.39,25,Activia Yoghurt naturel,Activia,2026-01-24 10:43:52
1,1.49,1.99,25,AH Trifle aardbei,AH,2026-01-24 10:43:52
1,1.49,1.99,25,AH Trifle pumpkin spice smaak,AH,2026-01-24 10:43:52
1,0.95,1.69,25,Activia Mix & go granen,Activia,2026-01-24 10:43:52
1,1.87,2.49,25,Campina Zacht & luchtig vanille smaak,Campina,2026-01-24 10:43:52
2,1.49,2.49,40,Kalverliefde Biologische volle melk,Kalverliefde,2026-01-24 10:43:52
1,1.79,2.39,25,Arla Biologisch vanille yoghurt halfvol,Arla,2026-01-24 10:43:52
1,1.16,1.55,25,AH Mousse koffie,AH,2026-01-24 10:43:52
6,0.75,2.49,70,Optimel Magere vla vanille,Optimel,2026-01-24 10:43:52
1,0.74,0.99,25,Danoontje Knijpyoghurt banaan,Danoontje,2026-01-24 10:43:52
1,0.74,0.99,25,AH Kleintje vla chocolade,AH,2026-01-24 10:43:52
1,1.63,2.89,25,Activia Yoghurt pruim,Activia,2026-01-24 10:43:52
1,1.64,2.19,25,AH Panini ham kaas,AH,2026-01-24 10:43:52
1,1.49,1.99,25,AH Libanees brood,AH,2026-01-24 10:43:52
1,0.99,3.29,70,Dr. Oetker Kwarktaart eigen fruit bakmix,Dr. Oetker,2026-01-24 10:43:52
1,1.49,2.49,40,Jos Poell Suikerschelpen,Jos Poell,2026-01-24 10:43:52
1,1.99,2.65,25,Liga Vitalu crackers volkoren,Liga,2026-01-24 10:43:52
5,1.79,2.99,40,Dr. Oetker Safari diertjes decoratie,Dr. Oetker,2026-01-24 10:43:52
5,2.21,3.69,40,Leentjes Strooi pret letters & disco dip,Leentjes,2026-01-24 10:43:52
4,1.61,2.69,40,Koopmans Brood uit de pan Grieks,Koopmans,2026-01-24 10:43:52
2,1.97,3.29,40,Koopmans Plaatcake stroopwafel,Koopmans,2026-01-24 10:43:52
3,2.92,3.89,25,Dr. Oetker Decoratiestiften choco & karamel,Dr. Oetker,2026-01-24 10:43:52
1,1.61,2.69,40,AH Gevuld eitje salade,AH,2026-01-24 10:43:52
5,1.05,1.75,40,Bifi Roll XXL,Bifi,2026-01-24 10:43:52
1,2.54,3.39,25,Johma Oudekaas sweetchilisalade,Johma,2026-01-24 10:43:52
1,1.87,2.49,25,AH Ongezouten macadamiamix,AH,2026-01-24 10:43:52
7,2.02,2.69,25,Pringles Cheese & onion,Pringles,2026-01-24 10:43:52
1,2.24,2.99,25,Faja Lobi Roti masala speciaal,Faja Lobi,2026-01-24 10:43:52
10,1.43,2.39,40,Chtoura fields Falafelmix,Chtoura fields,2026-01-24 10:43:52
1,1.87,2.49,25,AH Sojabonen,AH,2026-01-24 10:43:52
6,1.79,2.99,40,Sera Red beans in tomato sauce,Sera,2026-01-24 10:43:52
10,1.4,2.79,50,Mentos Gum Pure fresh strong euca menthol,Mentos Gum,2026-01-24 10:43:52
6,1.4,2.79,50,Mentos Gum Sour green apple,Mentos Gum,2026-01-24 10:43:52
6,1.0,1.99,50,Red Band Pretletters zoet,Red Band,2026-01-24 10:43:52
4,2.0,3.99,50,Stimorol Spearmint,Stimorol,2026-01-24 10:43:52
4,1.67,2.79,40,Mentos Gum Sour strawberry,Mentos Gum,2026-01-24 10:43:52
2,1.79,2.99,40,Fruittella Berries & cherry,Fruittella,2026-01-24 10:43:52
3,1.57,2.09,25,Ricola Gember sinaasappelmunt suikervrij,Ricola,2026-01-24 10:43:52
3,1.57,2.09,25,Ricola Cranberry suikervrij,Ricola,2026-01-24 10:43:52
2,1.57,2.09,25,Ricola Honing citroen echinacea,Ricola,2026-01-24 10:43:52
1,2.84,3.79,25,Bonne Maman Petits muffins au chocolat,Bonne Maman,2026-01-24 10:43:52
1,1.49,1.99,25,Food2Smile Very berry,Food2Smile,2026-01-24 10:43:52
3,1.19,1.99,40,AH Oranjekoek stukjes met banketspijs,AH,2026-01-24 10:43:52
2,1.87,2.49,25,AH Roomboter karamel stroopwafels,AH,2026-01-24 10:43:52
1,2.77,3.69,25,Nutella & go,Nutella,2026-01-24 10:43:52
