fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 20:50:12,AH Salade erbij italiaanse mix,AH,"Maaltijden, salades",3.99,1.20,70,1
2026-02-04 20:50:12,AH Sandwich tonijnsalade,AH,"Maaltijden, salades",3.50,1.05,70,1
2026-02-04 20:50:12,AH Stoomsoep tom kha kai,AH,"Maaltijden, salades",6.99,1.50,70,1
2026-02-04 20:50:12,AH Terra Pureersoep zoete aardappel paprika,AH Terra,"Maaltijden, salades",4.49,1.35,70,1
2026-02-04 20:50:12,AH XL salade pasta tonijn,AH,"Maaltijden, salades",5.99,1.80,70,1
2026-02-04 20:50:12,AH Pastasalade tonijn,AH,"Maaltijden, salades",4.29,1.29,70,1
2026-02-04 20:50:12,AH Banaan spelt pancakes,AH,"Maaltijden, salades",2.39,0.72,70,1
2026-02-04 20:50:12,AH Salade erbij witlof appel,AH,"Maaltijden, salades",3.99,1.20,70,1
2026-02-04 20:50:12,AH Kip paprikabroodje,AH,"Maaltijden, salades",1.99,1.19,40,4
2026-02-04 20:50:12,AH Kip loempia börek,AH,"Maaltijden, salades",1.09,0.82,25,10
2026-02-04 20:50:12,AH Frikandelbroodje,AH,"Maaltijden, salades",0.99,0.74,25,4
2026-02-04 20:50:12,AH Spinazie feta börek,AH,"Maaltijden, salades",1.09,0.82,25,4
2026-02-04 20:50:12,AH Rode biet gehaktbal,AH,"Maaltijden, salades",5.69,3.41,40,3
2026-02-04 20:50:12,AH Volkoren sandwich mozarella tomaat,AH,"Maaltijden, salades",3.50,2.28,35,1
2026-02-04 20:50:12,AH Stoommaaltijd zalm roomsaus,AH,"Maaltijden, salades",7.49,3.74,25,4
2026-02-04 20:50:12,AH Cordon bleu met spinazie,AH,"Maaltijden, salades",4.99,3.74,25,3
2026-02-04 20:50:12,AH American pancakes naturel,AH,"Maaltijden, salades",2.19,1.64,25,3
2026-02-04 20:50:12,AH Maaltijdsalade Italiaanse kip,AH,"Maaltijden, salades",5.99,4.49,25,2
2026-02-04 20:50:12,Magioni bloemkoolbodem pizza,Magioni,"Maaltijden, salades",3.99,2.99,25,2
